SARGAM NOTATION v3 — ICCR-1854-AC SIDE B
=================================================================
Source: Demucs vocals + CREPE + tanpura Sa detection
Detected Sa = 98.0 Hz | Pa = 146.8 Hz
Confidence: medium
CREPE confidence threshold = 0.75
Total notes: 5492

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [01:23.17]  M'      0.070s   Ma shuddh — taar saptak
  [01:23.27]  M'      0.070s   Ma shuddh — taar saptak
  [01:23.37]  R'      0.060s   Re shuddh — taar saptak
  [01:23.49]  R'      0.050s   Re shuddh — taar saptak
  [01:23.66]  S       0.130s   Sa — madhya saptak
  [01:23.79]  S'      0.050s   Sa — taar saptak
  [01:23.84]  S       0.110s   Sa — madhya saptak
  [01:24.01]  n       0.090s   Ni komal — madhya saptak
  [01:24.10]  D       0.040s   Dha shuddh — madhya saptak
  [01:24.14]  n       0.050s   Ni komal — madhya saptak
  [01:24.19]  D       0.100s   Dha shuddh — madhya saptak
  [01:24.33]  P       0.080s   Pa — madhya saptak
  [01:24.45]  D       0.060s   Dha shuddh — madhya saptak
  [01:24.67]  S'      0.080s   Sa — taar saptak
  [01:24.86]  R'      0.160s   Re shuddh — taar saptak
  [01:25.02]  r'      0.050s   Re komal — taar saptak
  [01:25.14]  M'      0.040s   Ma shuddh — taar saptak
  [01:25.18]  G'      0.090s   Ga shuddh — taar saptak
  [01:25.38]  M'      0.210s   Ma shuddh — taar saptak
  [01:25.59]  G'      0.230s   Ga shuddh — taar saptak
  [01:25.97]  g'      0.050s   Ga komal — taar saptak
  [01:26.12]  G'      0.140s   Ga shuddh — taar saptak
  [01:26.48]  g'      0.040s   Ga komal — taar saptak
  [01:26.66]  M'      0.060s   Ma shuddh — taar saptak
  [01:26.72]  G'      0.060s   Ga shuddh — taar saptak
  [01:26.78]  M'      0.090s   Ma shuddh — taar saptak
  [01:26.90]  R'      0.070s   Re shuddh — taar saptak
  [01:27.03]  R'      0.040s   Re shuddh — taar saptak
  [01:27.39]  n       0.170s   Ni komal — madhya saptak
  [01:27.56]  D       0.070s   Dha shuddh — madhya saptak
  [01:27.65]  n       0.060s   Ni komal — madhya saptak
  [01:27.74]  n       0.060s   Ni komal — madhya saptak
  [01:27.92]  N       0.050s   Ni shuddh — madhya saptak
  [01:27.97]  n       0.070s   Ni komal — madhya saptak
  [01:28.13]  S       0.050s   Sa — madhya saptak
  [01:28.18]  S'      0.050s   Sa — taar saptak
  [01:28.23]  S       0.050s   Sa — madhya saptak
  [01:28.32]  R'      0.170s   Re shuddh — taar saptak
  [01:28.49]  r'      0.040s   Re komal — taar saptak
  [01:28.53]  R'      0.060s   Re shuddh — taar saptak
  [01:28.59]  g'      0.040s   Ga komal — taar saptak
  [01:28.63]  G'      0.100s   Ga shuddh — taar saptak
  [01:28.73]  M'      0.080s   Ma shuddh — taar saptak
  [01:28.83]  M'      0.360s   Ma shuddh — taar saptak
  [01:29.19]  G'      0.210s   Ga shuddh — taar saptak
  [01:29.43]  g'      0.060s   Ga komal — taar saptak
  [01:29.55]  G'      0.070s   Ga shuddh — taar saptak
  [01:29.69]  G'      0.080s   Ga shuddh — taar saptak
  [01:29.80]  r'      0.060s   Re komal — taar saptak
  [01:29.89]  G'      0.050s   Ga shuddh — taar saptak
  [01:29.94]  g'      0.040s   Ga komal — taar saptak
  [01:30.18]  G'      0.240s   Ga shuddh — taar saptak
  [01:30.48]  G'      0.080s   Ga shuddh — taar saptak
  [01:33.30]  R'      0.190s   Re shuddh — taar saptak
  [01:33.57]  S       0.170s   Sa — madhya saptak
  [01:33.88]  n       0.040s   Ni komal — madhya saptak
  [01:33.95]  M+      0.040s   Ma tivra — madhya saptak
  [01:33.99]  P       0.040s   Pa — madhya saptak
  [01:34.12]  n       0.040s   Ni komal — madhya saptak
  [01:34.16]  D       0.040s   Dha shuddh — madhya saptak
  [01:34.33]  n       0.040s   Ni komal — madhya saptak
