SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:30.75]  G'      0.060s   Ga shuddh — taar saptak
  [00:30.81]  M'      0.030s   Ma shuddh — taar saptak
  [00:30.84]  M+'     0.020s   Ma tivra — taar saptak
  [00:30.86]  M'      0.010s   Ma shuddh — taar saptak
  [00:30.91]  R'      0.040s   Re shuddh — taar saptak
  [00:31.01]  G'      0.040s   Ga shuddh — taar saptak
  [00:31.13]  G'      0.060s   Ga shuddh — taar saptak
  [00:31.24]  R'      0.080s   Re shuddh — taar saptak
  [00:31.39]  M'      0.050s   Ma shuddh — taar saptak
  [00:31.45]  G'      0.030s   Ga shuddh — taar saptak
  [00:31.52]  d'      0.020s   Dha komal — taar saptak
  [00:31.58]  M'      0.130s   Ma shuddh — taar saptak
  [00:31.71]  M+'     0.050s   Ma tivra — taar saptak
  [00:31.81]  g'      0.050s   Ga komal — taar saptak
  [00:31.86]  R'      0.110s   Re shuddh — taar saptak
  [00:32.02]  R'      0.010s   Re shuddh — taar saptak
  [00:32.03]  G'      0.010s   Ga shuddh — taar saptak
  [00:32.04]  M+'     0.010s   Ma tivra — taar saptak
  [00:32.05]  d'      0.010s   Dha komal — taar saptak
  [00:32.06]  n'      0.010s   Ni komal — taar saptak
  [00:32.07]  N'      0.010s   Ni shuddh — taar saptak
  [00:32.08]  r'      0.010s   Re komal — taar saptak
  [00:32.13]  P'      0.170s   Pa — taar saptak
  [00:32.48]  D'      0.040s   Dha shuddh — taar saptak
