time,frequency,confidence
23.340,163.928,0.851325
23.350,163.593,0.819679
23.360,163.457,0.832594
23.370,163.110,0.808474
23.380,162.985,0.851219
23.390,162.677,0.859895
23.400,162.548,0.848555
23.410,162.340,0.865380
23.420,161.957,0.903716
23.430,161.696,0.886378
23.440,161.111,0.870604
23.450,159.739,0.903244
23.460,157.648,0.897224
23.470,154.799,0.879984
23.480,152.297,0.895563
23.490,150.444,0.918237
23.500,148.878,0.916953
23.510,147.420,0.953933
23.520,147.181,0.951725
23.530,147.158,0.963261
23.540,147.631,0.963554
23.550,148.242,0.942808
23.560,148.273,0.936069
23.570,147.781,0.948080
23.580,146.757,0.903126
23.710,149.110,0.868240
23.720,148.710,0.930052
23.730,148.446,0.917313
23.740,148.602,0.912289
23.750,148.726,0.923244
23.760,149.293,0.930308
23.770,149.217,0.929855
23.780,148.796,0.925262
23.790,148.199,0.928866
23.800,147.425,0.965387
23.810,147.215,0.962839
23.820,146.951,0.955972
23.830,147.161,0.949230
23.840,148.129,0.906090
23.890,165.179,0.869737
23.900,164.911,0.854575
24.130,161.794,0.803694
24.140,163.433,0.854295
24.150,164.493,0.894270
24.160,165.207,0.896776
24.170,164.725,0.881690
24.180,163.003,0.766999
24.350,185.037,0.822547
24.400,162.163,0.800241
24.410,159.765,0.866126
24.420,159.467,0.905445
24.470,173.401,0.759967
24.480,173.930,0.859091
24.490,173.573,0.912726
24.500,172.912,0.915006
24.510,172.065,0.884853
24.520,171.635,0.891857
24.530,171.540,0.895148
24.540,172.125,0.883231
24.550,172.716,0.920496
24.560,173.004,0.940211
