time,frequency,confidence
8.580,175.444,0.746912
8.590,174.793,0.773542
8.600,174.089,0.731067
8.610,169.528,0.534047
8.620,168.608,0.485908
8.630,173.419,0.555741
8.640,172.244,0.584942
8.650,173.337,0.659236
8.660,173.716,0.442619
8.670,175.736,0.239062
8.680,182.788,0.331608
8.690,187.471,0.290547
8.700,189.523,0.265579
8.710,191.380,0.241405
8.720,195.117,0.087515
8.730,196.411,0.105790
8.740,195.353,0.384760
8.750,194.087,0.095574
8.760,191.978,0.160200
8.770,192.125,0.544338
8.780,193.192,0.764950
8.790,195.446,0.746796
8.800,197.696,0.685858
8.810,198.620,0.432825
8.820,215.041,0.410922
8.830,217.582,0.589172
8.840,217.541,0.774937
8.850,215.712,0.786266
8.860,216.113,0.842025
8.870,217.794,0.866049
8.880,217.211,0.825997
8.890,214.664,0.725532
8.900,212.086,0.780507
8.910,214.822,0.698655
8.920,217.307,0.761892
8.930,220.840,0.668826
8.940,223.932,0.641424
8.950,224.706,0.802036
8.960,224.874,0.810830
8.970,224.712,0.792630
8.980,225.933,0.616594
8.990,247.513,0.227631
9.000,251.600,0.225875
9.010,252.931,0.303972
9.020,250.837,0.397329
9.030,247.295,0.385439
9.040,238.242,0.292155
9.050,234.086,0.391716
9.060,235.363,0.532964
9.070,237.639,0.317699
9.080,239.414,0.192112
9.090,215.030,0.256405
9.100,218.925,0.367440
9.110,219.257,0.608749
9.120,222.737,0.795069
9.130,226.112,0.852412
9.140,229.882,0.807722
9.150,233.115,0.875318
9.160,235.660,0.890217
9.170,238.536,0.903317
9.180,242.168,0.930820
9.190,245.908,0.942625
9.200,247.702,0.943318
9.210,247.528,0.949251
9.220,248.101,0.945326
9.230,250.071,0.941699
9.240,250.764,0.950024
9.250,250.731,0.936949
9.260,251.484,0.932070
9.270,253.687,0.935157
9.280,255.439,0.917831
9.290,256.995,0.900691
9.300,258.432,0.890095
9.310,258.156,0.898381
9.320,257.297,0.957507
9.330,256.493,0.959050
9.340,255.305,0.924388
9.350,254.011,0.935694
9.360,254.208,0.913471
9.370,255.373,0.920170
9.380,256.196,0.956721
9.390,257.417,0.935284
9.400,259.360,0.916886
9.410,261.495,0.865813
9.420,262.502,0.778847
9.430,259.197,0.501830
9.440,259.427,0.778256
9.450,260.052,0.778529
9.460,260.207,0.817780
9.470,259.342,0.845889
9.480,258.674,0.856807
9.490,258.412,0.788750
9.500,258.157,0.660655
9.510,259.162,0.772025
9.520,260.669,0.823108
9.530,261.926,0.817839
9.540,262.871,0.820210
9.550,263.897,0.900074
9.560,262.065,0.861917
9.570,253.185,0.301975
9.580,248.783,0.436321
9.590,242.245,0.632271
9.600,241.337,0.797350
9.610,242.282,0.898941
9.620,243.664,0.904156
9.630,244.258,0.947638
9.640,244.448,0.954985
9.650,245.138,0.955175
9.660,246.264,0.928490
9.670,248.157,0.913267
9.680,252.012,0.816041
9.690,256.479,0.855408
9.700,258.983,0.847474
9.710,258.094,0.851467
9.720,257.916,0.866063
9.730,259.269,0.799281
9.740,260.602,0.814918
9.750,263.390,0.900861
9.760,262.406,0.868615
9.770,258.381,0.807576
9.780,256.174,0.853824
9.790,256.551,0.917877
9.800,257.993,0.926727
9.810,257.505,0.934810
9.820,254.783,0.896943
9.830,251.606,0.885319
9.840,248.859,0.824776
9.850,247.065,0.795505
9.860,246.004,0.798760
9.870,247.063,0.794559
9.880,250.021,0.842310
9.890,252.512,0.886350
9.900,254.522,0.943031
9.910,255.401,0.951711
9.920,255.526,0.954284
9.930,254.519,0.959043
9.940,252.762,0.928584
9.950,250.956,0.928492
9.960,249.071,0.841946
9.970,247.668,0.795672
9.980,245.430,0.890045
9.990,245.518,0.929986
10.000,245.254,0.943784
10.010,244.369,0.933682
10.020,244.014,0.928786
10.030,243.614,0.939521
10.040,243.254,0.950996
10.050,243.192,0.946405
10.060,243.083,0.928405
10.070,241.772,0.911282
10.080,241.099,0.868338
10.090,241.383,0.850061
10.100,244.315,0.842442
10.110,247.571,0.880690
10.120,248.136,0.893385
10.130,247.644,0.800117
10.140,246.774,0.707161
10.150,245.772,0.803405
10.160,245.439,0.859475
10.170,247.061,0.897759
10.180,248.399,0.899394
10.190,249.350,0.766951
10.200,248.311,0.721181
10.210,245.012,0.693116
10.220,244.472,0.547106
10.230,219.278,0.539985
10.240,218.698,0.858805
10.250,218.742,0.882557
10.260,218.748,0.866902
10.270,218.492,0.855007
10.280,218.277,0.818759
10.290,219.241,0.767846
10.300,219.126,0.735132
10.310,219.144,0.811641
10.320,219.078,0.789937
10.330,219.837,0.749270
10.340,220.845,0.673094
10.350,222.679,0.545247
10.360,221.643,0.537718
10.370,218.429,0.726637
10.380,216.773,0.645087
10.390,212.943,0.620301
10.400,208.738,0.645692
10.410,208.377,0.674757
10.420,211.296,0.724483
10.430,213.880,0.679172
10.440,217.764,0.636813
10.450,222.280,0.561525
10.460,229.338,0.485138
10.470,236.307,0.707764
10.480,240.137,0.791160
10.490,245.920,0.791288
10.500,257.547,0.761057
10.510,262.276,0.909052
10.520,259.116,0.885845
10.530,252.985,0.865210
10.540,244.653,0.836859
10.550,238.975,0.881509
10.560,236.692,0.883841
10.570,237.211,0.842122
10.580,241.545,0.829047
10.590,247.890,0.714586
10.600,273.609,0.464003
10.610,276.841,0.708053
10.620,280.681,0.545573
10.630,293.539,0.542369
10.640,293.833,0.542131
10.650,288.770,0.663940
10.660,284.245,0.797598
10.670,283.488,0.348464
10.680,249.934,0.800289
10.690,249.237,0.894857
10.700,249.354,0.932775
10.710,250.193,0.918877
10.720,253.350,0.855684
